t(s),roll(rad),pitch(rad),yaw(rad),roll(deg),pitch(deg),yaw(deg)
554093.4984425000,0.0054812124,-0.0112132433,0.1630362008,0.3140503388,-0.6424715159,9.3412862132
554094.4984605000,0.0055360907,-0.0111889627,0.2135800864,0.3171946296,-0.6410803373,12.2372375390
554095.4984784999,0.0054998787,-0.0112198147,0.2222824272,0.3151198358,-0.6428480266,12.7358449368
554096.4984965000,0.0055482032,-0.0112138789,0.2192387325,0.3178886281,-0.6425079347,12.5614540778
554097.4985145000,0.0055180842,-0.0112139313,0.2001167172,0.3161629367,-0.6425109326,11.4658433045
554098.4985325000,0.0055120577,-0.0112258497,0.1785709006,0.3158176430,-0.6431938107,10.2313589500
554099.4985505000,0.0054996246,-0.0112368740,0.2249538031,0.3151052758,-0.6438254540,12.8889035006
554100.4985685000,0.0055239241,-0.0112073958,0.2193573826,0.3164975395,-0.6421364772,12.5682522298
554101.4985870000,0.0054996112,-0.0111825254,0.1812440759,0.3151045093,-0.6407115120,10.3845206126
554102.4986060000,0.0055360331,-0.0111586750,0.2011528607,0.3171913308,-0.6393449828,11.5252099532
554103.4986235000,0.0055116682,-0.0112134071,0.2150771465,0.3157953253,-0.6424809028,12.3230127649
554104.4986415000,0.0055119980,-0.0112257883,0.1957663229,0.3158142229,-0.6431902922,11.2165840709
554105.4986595000,0.0055181446,-0.0112556284,0.1981179733,0.3161663978,-0.6449000055,11.3513237133
554106.4986775001,0.0055056682,-0.0112132829,0.2064767270,0.3154515503,-0.6424737863,11.8302450267
554107.4986955000,0.0055180971,-0.0111766245,0.2253702486,0.3161636729,-0.6403734105,12.9127640719
554108.4987135000,0.0054876321,-0.0111889675,0.1853066257,0.3144181607,-0.6410806176,10.6172875680
554109.4987315000,0.0055118628,-0.0112072800,0.2293231658,0.3158064739,-0.6421298434,13.1392495452
554110.4987495000,0.0055240222,-0.0112134736,0.2050399820,0.3165031581,-0.6424847134,11.7479255979
554111.4987680000,0.0054871297,-0.0111522117,0.2184701814,0.3143893750,-0.6389746614,12.5174193448
554112.4987865000,0.0055121783,-0.0112434370,0.2134280312,0.3158245535,-0.6442014889,12.2285254162
554113.4988045000,0.0055118585,-0.0112071392,0.1844008779,0.3158062284,-0.6421217765,10.5653920432
554114.4988225000,0.0055117062,-0.0112072321,0.2209114557,0.3157975046,-0.6421270990,12.6572940574
554115.4988405000,0.0054628001,-0.0112558674,0.2028805611,0.3129953888,-0.6449136994,11.6241998990
554116.4988585000,0.0055299520,-0.0112256174,0.2047562574,0.3168429119,-0.6431804977,11.7316693757
554117.4988764999,0.0054690404,-0.0111949230,0.2418699224,0.3133529313,-0.6414218414,13.8581257466
554118.4988945000,0.0055243222,-0.0112435765,0.2012960204,0.3165203454,-0.6442094825,11.5334124005
554119.4989125000,0.0055300379,-0.0112261553,0.2101597839,0.3168478312,-0.6432113163,12.0412686391
554120.4989305000,0.0054815096,-0.0111891142,0.1943774162,0.3140673652,-0.6410890219,11.1370055787
554121.4989495000,0.0055055508,-0.0112078281,0.2202257797,0.3154448230,-0.6421612451,12.6180077141
